"Title","Artist","ConstituentID","Date","Medium","Classification","Dim_cm2","Style"
"Organizatsiia proizvodstva pobeda nad kapitalisticheskim stroem (Organization of Production is Victory Over the Capitalist Regime)","Unidentified Artist","23390",1920,"Lithograph","Print",837.76,"Surrealismo"
"""Society of Monkeys"" diploma","Aleksei Remizov","14185",1922,"Watercolor, ink, cut-and-pasted colored and metallic papers and colored crayon","Drawing",760.02,"Surrealismo"
"Untitled (Suprematist Cross)","Kazimir Malevich","3710",1920,"Linoleum cut","Print",806.98,"Surrealismo"
"Valia Zdanevich","Aleksei Kruchenykh","3263",1923,"Collage with photograph, pencil and watercolor manuscript text.","Drawing",720.25,"Surrealismo"
"Admission ticket to attend the funeral and wake of V. Mayakovsky, April 17, 1930, \Admission ticket to attend the funeral and wake of V. Mayakovsky, April 17, 1930\","Russian Book Collection","23323",1930,"Letterpress","Print",165,"Surrealismo"
"Orpheus before Pluto and Proserpina (Orpheus vor Pluto und Proserpina) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)","Max Beckmann","429",1909,"Lithograph","Print",515.43,"Cubismo"
"Plate (folio 2) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",457.38,"Pop Art"
"One Day","Eduard Flor","1919",1971,"Portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",1600,"Pop Art"
"Plate (folio 4) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",449.69,"Pop Art"
"Plate (folio 6) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",457.04,"Pop Art"
"Plate (folio 8) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",454.72,"Pop Art"
"Plate (folio 10) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",459.01,"Pop Art"
"Plate (folio 12) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",456.3,"Pop Art"
"Plate (folio 14) from One Day","Eduard Flor","1919",1971,"Soft ground etching and aquatint from a portfolio of seven soft ground etchings and screenprinted reproductions with texts","Print",447.36,"Pop Art"
"The Departure of Orpheus from his Mother (Abschied Orpheus' von der Mutter) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)","Max Beckmann","429",1909,"Lithograph","Print",520,"Cubismo"
"Orpheus at the Shore II (Orpheus am Meer II) from the illustrated book Eurydikes Wiederkehr, Drei Gesänge (The Return of Eurydice, Three Cantos)","Max Beckmann","429",1909,"Lithograph","Print",517.5,"Cubismo"
"Untitled anti-German propaganda poster from the First World War, (""The Battle of Sokal"")","Vladimir Mayakovsky","11904",1914,"Lithograph","Print",2316,"Cubismo"
"Untitled (Futurist Landscape)","Olga Rozanova","5066",1913,"Pen and ink on paper","Drawing",430.11,"Cubismo"
"Maquette for illustrations for Solntsa Potselui. Stikhi (Kiss of the Sun: Verse)","Natan Al'tman","11947",1914,"Pastel, gouche, and ink on cut-and-pasted paper mounted on cut and pasted green construction paper mounted on red construction paper","Drawing",686.4,"Cubismo"
"Iacy from Maria 1946","Maria Martins","3767",1946,"Etching and drypoint from a portfolio with nine etchings (four with aquatint and engraving and one with drypoint) and one engraving","Print",882.36,"Expresionismo Abstracto"
