Dim_cm2,Date,Style_encoded,Artist_encoded,Medium_encoded,Cluster
837.76,1920,8,3357,2549,2
760.02,1922,8,87,5233,0
806.98,1920,8,1930,2527,2
720.25,1923,8,86,538,1
165.0,1930,8,3035,2470,2
515.43,1909,1,2347,2549,2
457.38,1971,4,774,4647,0
1600.0,1971,4,774,4184,0
449.69,1971,4,774,4647,0
457.04,1971,4,774,4647,0
454.72,1971,4,774,4647,0
459.01,1971,4,774,4647,0
456.3,1971,4,774,4647,0
447.36,1971,4,774,4647,0
520.0,1909,1,2347,2549,2
517.5,1909,1,2347,2549,2
2316.0,1914,1,3417,2549,2
430.11,1913,1,2568,3620,0
686.4,1914,1,2513,3609,0
882.36,1946,2,2221,1463,2
1710.0,1989,5,3262,3268,2
1710.0,1989,5,3262,4148,0
1710.0,1989,5,3262,3269,2
1710.0,1989,5,3262,3269,2
1714.75,1989,5,3262,3269,2
1710.0,1989,5,3262,3269,2
1710.0,1989,5,3262,3269,2
1713.6,1989,5,3262,3269,2
1721.97,1989,5,3262,3269,2
1718.36,1989,5,3262,3269,2
1710.0,1989,5,3262,3269,2
1714.75,1989,5,3262,3269,2
1714.75,1989,5,3262,3269,2
1710.0,1989,5,3262,3269,2
1710.0,1989,5,3262,3269,2
396.8,1950,2,2353,1405,2
1728.32,1916,1,2585,2634,2
2828.8,1916,1,2585,4239,0
1731.06,1916,1,2585,2634,2
1726.6,1916,1,2585,2634,2
1724.8,1916,1,2585,2634,2
1757.25,1916,1,2585,2634,2
1764.0,1916,1,2585,2634,2
1738.59,1916,1,2585,2634,2
1690.5,1916,1,2585,2634,2
1720.44,1916,1,2585,2634,2
1701.72,1916,1,2585,2634,2
1697.5,1916,1,2585,2634,2
1680.0,1916,1,2585,2634,2
756.0,1986,5,962,1226,1
1069.34,1994,5,866,162,1
897.0,1995,5,2117,1197,2
891.0,1995,5,2117,1258,2
912.03,1995,5,2117,1197,2
906.01,1995,5,2117,1197,2
900.0,1995,5,2117,1197,2
900.0,1995,5,2117,1197,2
900.0,1995,5,2117,1197,2
900.0,1995,5,2117,1221,2
896.98,1995,5,2117,1197,2
525.3,1986,5,2272,185,2
453.25,1926,8,835,2549,1
444.0,1926,8,835,5002,0
453.25,1926,8,835,2549,1
3260.0,1922,8,1112,164,1
616.0,1894,3,1313,2549,1
2749.5,1922,8,1112,194,1
405.0,1950,2,2353,4997,0
3307.75,1922,8,1112,204,1
214.24,1954,2,167,3423,1
777.6,1914,1,3358,4066,0
527.35,1917,1,2347,1197,2
472.59,1924,8,82,2470,1
729.6,1928,8,1388,2411,1
254.56,1917,1,1412,3624,0
1897.56,1932,8,125,2549,1
106.25,1920,8,1411,2470,1
150.42,1920,8,1408,2527,1
364.8,1953,2,197,4077,1
112.56,1917,1,2568,2251,2
624.56,1930,8,3384,2470,2
676.8,1918,1,3035,2470,2
318.0,1930,8,1974,999,2
3289.0,1973,4,2585,3363,2
3549.6,1973,4,2585,4190,0
3282.5,1973,4,2585,3363,2
3276.0,1973,4,2585,3363,2
3255.0,1973,4,2585,3363,2
3194.8,1973,4,2585,3363,2
3260.0,1973,4,2585,3363,2
249.78,1923,8,3357,2470,2
241.3,1919,1,3148,3627,2
238.62,1925,8,1824,3620,0
201.4,1929,8,3384,3649,2
485.94,1918,1,1411,2470,1
758.2,1929,8,1974,1926,2
364.06,1928,8,1438,1926,1
4188.8,1933,8,3384,2470,2
73.26,1918,1,1974,3748,0
3272.4,1926,8,1112,229,1
3299.12,1923,8,1112,2512,1
744.0,1946,2,2245,1248,2
3310.71,1923,8,1112,229,1
3303.16,1923,8,1112,175,1
847.7,1919,1,3386,677,2
199.64,1946,2,3535,1197,2
1379.04,1968,4,2074,3388,0
614.18,1968,4,2074,4218,0
1364.16,1968,4,2074,3388,0
1379.73,1968,4,2074,3388,0
1368.22,1968,4,2074,3388,0
1357.44,1968,4,2074,3388,0
1380.4,1968,4,2074,3388,0
1351.37,1968,4,2074,3388,0
1372.95,1968,4,2074,3388,0
1375.66,1968,4,2074,3388,0
1364.85,1968,4,2074,3388,0
202.5,1946,2,3535,1197,2
3282.5,1922,8,1112,164,1
3292.6,1922,8,1112,221,1
3269.5,1922,8,1112,222,1
3262.3,1923,8,1112,164,1
3292.6,1922,8,1112,237,1
3327.4,1922,8,1112,221,1
3264.47,1922,8,1112,165,1
3280.29,1922,8,1112,164,1
3297.65,1922,8,1112,164,1
3274.53,1922,8,1112,222,1
3292.6,1922,8,1112,222,1
3310.71,1922,8,1112,164,1
3295.5,1922,8,1112,164,1
3266.52,1927,8,1112,164,1
3310.71,1926,8,1112,163,1
3278.06,1926,8,1112,221,1
3273.04,1922,8,1112,221,1
3287.55,1922,8,1112,164,1
3263.0,1926,8,1112,208,1
3282.5,1926,8,1112,163,1
3269.5,1926,8,1112,222,1
3259.44,1927,8,1112,221,1
157.5,1931,8,3358,4087,2
837.12,1967,4,3140,2469,2
